2,88,1
2,88,1
4,182,2
4,183,3
5,227,1
7,304,1
8,326,2
8,327,3
9,347,4
11,431,4
11,432,5
11,436,6
22,869,7
23,888,5
23,888,8
23,891,2
23,892,9
23,905,3
24,926,10
31,1179,6
31,1183,7
31,1183,11
31,1184,8
31,1188,9
31,1190,4
31,1216,12
32,1217,10
32,1219,11
32,1219,13
32,1222,12
32,1246,14
32,1249,15
32,1250,13
32,1251,16
32,1252,14
33,1259,17
33,1260,15
33,1263,16
33,1270,17
33,1282,18
34,1295,19
34,1299,20
34,1303,21
34,1306,22
34,1309,23
34,1315,24
34,1317,25
34,1318,18
34,1319,26
34,1321,27
34,1325,28
35,1344,29
35,1349,19
35,1350,20
35,1356,21
35,1360,22
35,1360,30
35,1364,31
36,1391,32
36,1403,23
37,1409,24
37,1412,25
37,1433,33
38,1448,26
38,1457,27
73,2796,28
97,3724,29
115,4404,34
122,4643,35
122,4644,5
122,4646,6
122,4647,7
122,4649,36
122,4651,37
122,4652,8
122,4654,38
122,4657,30
122,4658,31
122,4659,32
122,4659,39
122,4660,40
122,4663,41
122,4666,42
122,4672,33
122,4672,43
122,4674,34
123,4677,35
123,4677,44
123,4678,45
123,4682,46
123,4683,47
123,4686,48
123,4688,49
123,4689,50
123,4691,51
123,4693,52
123,4697,53
123,4700,54
123,4701,55
123,4702,56
123,4703,57
123,4707,58
123,4709,59
124,4717,60
124,4721,61
124,4726,62
124,4727,63
124,4736,64
124,4741,65
124,4744,66
124,4748,36
125,4751,37
125,4753,67
125,4754,38
125,4755,39
125,4756,68
125,4757,40
125,4757,69
125,4777,70
125,4778,71
126,4790,72
126,4792,9
126,4794,2
126,4795,3
126,4799,1
126,4804,73
126,4805,41
126,4806,42
126,4806,74
126,4808,43
126,4810,75
126,4811,10
126,4811,4
126,4811,2
126,4818,76
126,4818,11
126,4819,5
127,4833,77
127,4835,44
127,4839,12
127,4842,78
127,4842,13
127,4843,79
127,4843,6
127,4851,7
127,4855,3
127,4857,4
128,4895,45
128,4897,46
128,4901,47
129,4910,48
129,4912,49
129,4913,80
129,4914,50
129,4914,81
129,4917,51
129,4918,82
129,4919,52
129,4920,53
129,4921,54
129,4921,83
129,4923,55
129,4923,84
129,4924,85
129,4925,56
129,4929,57
129,4929,14
129,4931,8
129,4933,58
129,4933,9
129,4934,15
130,4943,86
130,4946,87
130,4949,88
130,4957,89
130,4971,59
130,4972,90
130,4973,60
130,4976,91
131,4994,5
131,4998,6
131,5002,16
131,5003,17
131,5005,7
131,5015,92
131,5015,18
132,5017,19
132,5019,20
132,5021,21
132,5024,22
132,5027,23
132,5030,93
132,5032,10
132,5033,94
132,5035,11
132,5037,24
132,5037,12
132,5048,95
133,5059,96
133,5060,97
133,5062,98
133,5064,99
133,5067,100
133,5070,101
133,5077,102
133,5083,103
133,5084,104
133,5086,105
134,5114,106
134,5115,61
134,5121,25
134,5126,26
134,5128,13
135,5137,8
135,5138,14
135,5141,9
136,5189,107
136,5191,62
136,5197,108
136,5200,109
137,5238,63
138,5282,110
139,5305,27
139,5312,28
140,5324,29
140,5329,30
140,5331,31
140,5335,15
140,5335,10
140,5337,32
140,5339,16
140,5341,33
140,5349,11
140,5357,12
141,5393,17
141,5395,34
142,5398,35
142,5398,18
142,5399,19
142,5400,20
142,5403,36
142,5409,21
142,5415,13
146,5584,64
148,5660,37
150,5706,14
152,5814,65
152,5814,111
153,5816,66
153,5817,112
153,5819,67
153,5819,113
153,5821,114
153,5822,68
153,5822,115
153,5824,69
153,5827,116
153,5829,70
153,5833,71
153,5834,117
153,5839,118
153,5840,72
154,5890,38
155,5893,15
155,5894,22
155,5924,73
155,5928,119
156,5931,39
156,5934,40
156,5935,16
156,5955,74
156,5958,75
156,5960,76
156,5961,120
160,6083,121
183,6989,17
246,9350,122
247,9399,23
247,9403,24
336,12806,77
337,12808,78
337,12812,79
337,12813,80
337,12814,81
337,12819,82
337,12821,83
337,12825,84
337,12827,85
337,12829,86
337,12830,87
337,12835,88
337,12836,89
337,12839,90
338,12846,91
338,12851,92
338,12853,93
338,12855,94
338,12857,95
338,12858,96
338,12859,123
338,12860,97
338,12860,124
338,12861,125
338,12862,98
338,12863,99
338,12866,100
338,12869,101
338,12873,102
338,12876,103
338,12882,126
339,12889,127
339,12895,104
339,12896,105
339,12906,106
339,12910,107
339,12915,108
340,12921,109
340,12925,110
340,12931,111
340,12949,112
340,12957,113
341,12979,114
341,12981,115
342,13000,128
342,13019,129
342,13025,130
342,13031,116
343,13041,41
343,13059,42
343,13066,43
343,13070,44
343,13071,131
343,13072,132
343,13072,45
344,13073,46
344,13075,133
344,13075,47
344,13081,48
344,13083,134
344,13085,49
344,13092,50
344,13098,51
344,13099,52
344,13101,53
344,13109,54
345,13121,55
345,13126,56
345,13129,57
345,13130,58
345,13131,59
345,13132,60
345,13134,61
345,13136,62
345,13144,63
345,13147,64
346,13150,65
346,13155,66
346,13168,117
346,13174,118
346,13183,119
